title,studio,domestic_gross,foreign_gross,year,matched_title,similarity
Marmaduke 2010,Fox,33600000.0,50100000,2010,Marmaduke 2010,100
Piranha 3D 2010,W/Dim.,25000000.0,58200000,2010,Piranha 3D 2010,100
Oceans 2010,BV,19400000.0,63200000,2010,Ocaso 2010,86
Edge of Darkness 2010,WB,43300000.0,37800000,2010,Edge of Darkness 2010,100
Vampires Suck 2010,Fox,36700000.0,43900000,2010,Vampires Suck 2010,100
Letters to Juliet 2010,Sum.,53000000.0,26100000,2010,Letters to Juliet 2010,100
The Back-Up Plan 2010,CBS,37500000.0,40000000,2010,The Back-up Plan 2010,100
If You Are the One 2 (Fei Cheng Wu Rao II) 2010,CL,427000.0,75600000,2010,If You Are the One 2 2010,69
Diary of a Wimpy Kid 2010,Fox,64000000.0,11700000,2010,Diary of a Wimpy Kid 2010,100
Easy A 2010,SGem,58400000.0,16600000,2010,Easy A 2010,100
Hubble 3D 2010,WB,52400000.0,21500000,2010,Hubble 2010,88
Takers 2010,SGem,57700000.0,11300000,2010,Takers 2010,100
Tales from Earthsea 2010,BV,48500.0,68600000,2010,Tales from Kars 2010,86
Legion (2010) 2010,SGem,40200000.0,27800000,2010,Legion 2010,76
The American 2010,Focus,35600000.0,32299999,2010,The American 2010,100
The Last Exorcism 2010,LGF,41000000.0,26700000,2010,The Last Exorcism 2010,100
The Next Three Days 2010,LGF,21100000.0,46300000,2010,The Next Three Days 2010,100
The Girl Who Played with Fire 2010,MBox,7600000.0,59500000,2010,The Girl Who Played with the Dead 2014,83
Skyline 2010,Uni.,21400000.0,45400000,2010,Skyline 2010,100
Hot Tub Time Machine 2010,MGM,50300000.0,14300000,2010,Hot Tub Time Machine 2010,100
Devil 2010,Uni.,33600000.0,29100000,2010,Devil 2010,100
127 Hours 2010,FoxS,18300000.0,42400000,2010,127 Hours 2010,100
Tyler Perry's Why Did I Get Married Too? 2010,LGF,60100000.0,578000,2010,Why Did I Get Married Too? 2010,82
Secretariat 2010,BV,59700000.0,537000,2010,Secretariat 2010,100
The Ghost Writer 2010,Sum.,15500000.0,44700000,2010,The Ghost Writer 2010,100
Morning Glory 2010,Par.,31000000.0,29000000,2010,Morning Glory 2010,100
Remember Me 2010,Sum.,19100000.0,37000000,2010,Remember Me 2010,100
Cop Out 2010,WB,44900000.0,10700000,2010,Cop Out 2010,100
The Crazies 2010,Over.,39100000.0,15700000,2010,The Crazies 2010,100
From Paris with Love 2010,LGF,24100000.0,28700000,2010,From Paris with Love 2010,100
Daybreakers 2010,LGF,30100000.0,21300000,2010,Daybreak 2010,90
Alpha and Omega 2010,LGF,25100000.0,25400000,2010,Alpha and Omega 2010,100
The Switch 2010,Mira.,27800000.0,22100000,2010,The Switch 2010,100
She's Out of My League 2010,Par.,32000000.0,17800000,2010,She's Out of My League 2010,100
Death at a Funeral (2010) 2010,SGem,42700000.0,6300000,2010,Death at a Funeral 2010,87
How Do You Know 2010,Sony,30200000.0,18500000,2010,How Do You Know 2010,100
Charlie St. Cloud 2010,Uni.,31200000.0,17000000,2010,Charlie St. Cloud 2010,100
Scott Pilgrim vs. the World 2010,Uni.,31500000.0,16100000,2010,Scott Pilgrim vs. the World 2010,100
Heartbreaker 2010,IFC,504000.0,46900000,2010,Heartbreaker 2010,100
The Spy Next Door 2010,LGF,24300000.0,20900000,2010,The Spy Next Door 2010,100
"The Good, the Bad, the Weird 2010",IFC,128000.0,44100000,2010,"The Good, The Bad, The Hungry 2019",84
Machete 2010,Fox,26600000.0,17500000,2010,Machete 2010,100
The Girl Who Kicked the Hornet's Nest 2010,MBox,5200000.0,38300000,2010,The Girl in the Orange Dress 2018,69
The Man From Nowhere 2010,CJ,528000.0,42500000,2010,The Man from Nowhere 2010,100
When in Rome 2010,BV,32700000.0,10400000,2010,When in Rome 2010,100
My Name is Khan 2010,FoxS,4000000.0,38300000,2010,My Name Is Khan 2010,100
Going the Distance 2010,WB (NL),17800000.0,24200000,2010,Going the Distance 2010,100
The Concert 2010,Wein.,658000.0,40500000,2010,The Concert 2017,94
Agora 2010,NM,619000.0,38400000,2010,Goa 2010,89
For Colored Girls 2010,LGF,37700000.0,17300,2010,For Colored Girls 2010,100
Brooklyn's Finest 2010,Over.,27200000.0,9300000,2010,Brooklyn Roses 2018,78
Furry Vengeance 2010,Sum.,17600000.0,18600000,2010,Furry Vengeance 2010,100
Faster 2010,CBS,23200000.0,12400000,2010,Faster 2010,100
The Kids Are All Right 2010,Focus,20800000.0,13900000,2010,The Kids Are All Right 2010,100
You Will Meet a Tall Dark Stranger 2010,SPC,3200000.0,31000000,2010,You Will Meet a Tall Dark Stranger 2010,100
The Secret in Their Eyes 2010,SPC,6400000.0,27600000,2010,Secret in Their Eyes 2015,89
Avatar: Special Edition 2010,Fox,10700000.0,22500000,2010,Chess Kids: Special Edition 2011,70
Leap Year 2010,Uni.,25900000.0,6700000,2010,Leap Year 2010,100
You Again 2010,BV,25700000.0,6300000,2010,You Again 2010,100
Mesrine: Killer Instinct 2010,MBox,552000.0,30500000,2010,Foresight Killer Instinct 2013,78
The Losers 2010,WB,23600000.0,5800000,2010,The Losers 2010,100
Case 39 2010,ParV,13300000.0,14900000,2010,Case 219 2010,88
Ramona and Beezus 2010,Fox,26200000.0,1100000,2010,Ramona and Beezus 2010,100
Splice 2010,WB,17000000.0,9800000,2010,Alice 2010,86
Fair Game (2010) 2010,Sum.,9500000.0,14600000,2010,Fair Game? 2010,83
Let Me In 2010,Over.,12100000.0,12000000,2010,Let Me In 2010,100
Mao's Last Dancer 2010,Gold.,4800000.0,17500000,2010,Orson's Last Dance 2012,80
Just Wright 2010,FoxS,21500000.0,29900,2010,Just Wright 2010,100
Our Family Wedding 2010,FoxS,20300000.0,1200000,2010,Our Family Wedding 2010,100
My Soul to Take 2010,Uni.,14700000.0,6200000,2010,My Soul to Take 2010,100
71 Into the Fire 2010,JS,177000.0,20800000,2010,71: Into the Fire 2010,98
"I Love You, Phillip Morris 2010",RAtt.,2000000.0,18700000,2010,"I Love You, LC! 2019",71
Country Strong 2010,SGem,20200000.0,310000,2010,Country Strong 2010,100
Another Year 2010,SPC,3200000.0,16500000,2010,Another Year 2010,100
